DATASET_HEATMAP 
#In heatmaps, each ID is associated to multiple numeric values, which are displayed as a set of colored boxes defined by a color gradient
#lines starting with a hash are comments and ignored during parsing
#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file.
#SEPARATOR TAB
SEPARATOR SPACE
ERR4772221 0
ERR4772223 0
ERR4772224 0
ERR4772226 1
ERR4772228 0
ERR502499 1
ERR502526 0
ERR553061 0
ERR6367050 0
ERR6367051 0
ERR6367052 0
ERR6367057 1
ERR6367058 1
ERR6367059 1
ERR6367060 1
ERR6367061 1
ERR6367062 1
ERR6367063 1
ERR6367064 1
ERR6367065 0
ERR6367066 1
ERR6367067 1
ERR6367068 0
ERR6367069 1
ERR6367070 1
ERR6367071 1
ERR6367072 1
ERR6367073 0
ERR6367074 0
ERR6367075 0
ERR6367076 0
ERR6367077 1
ERR6367078 1
ERR6367079 1
ERR6367080 1
ERR6367081 1
ERR6367082 1
ERR6367083 1
ERR6367084 1
ERR6367085 0
ERR6367086 0
ERR6367087 1
ERR6367088 0
ERR6367089 0
ERR6367090 0
ERR6367091 0
ERR6367092 0
ERR6367093 1
ERR6367094 1
ERR6367095 1
ERR6367096 1
ERR6367097 0
ERR6367098 0
ERR6367099 0
ERR6367100 1
ERR6367101 1
ERR6367102 1
ERR6367103 1
ERR6367104 1
ERR6367105 0
ERR6367106 0
ERR6367107 0
ERR6367108 0
ERR6367109 0
ERR6367110 0
ERR6367111 0
ERR6367112 0
ERR6367113 0
ERR6367114 0
ERR6367115 0
ERR6367117 0
ERR6367118 0
ERR6367119 0
ERR6367120 1
ERR6367121 1
ERR6367122 1
ERR6367123 1
ERR6367124 1
ERR6367125 0
ERR6367126 0
ERR6367127 1
ERR6367128 0
ERR841788 0
ERR841789 0
ERR841790 0
ERR841792 0
ERR841793 0
ERR841794 0
ERR841795 0
ERR841796 0
ERR841799 0
ERR841802 0
ERR841803 0
ERR841804 0
ERR841805 0
ERR841806 0
ERR841807 0
ERR841809 0
ERR841810 0
ERR841811 0
ERR841812 0
ERR841814 0
ERR841815 0
ERR841817 0
ERR841818 0
ERR841819 0
ERR841820 0
ERR841821 0
ERR841822 0
ERR841823 0
ERR841824 0
ERR841825 0
ERR841826 0
ERR841827 0
ERR841828 0
ERR841829 0
ERR841830 0
ERR841831 0
ERR841832 0
ERR841835 0
ERR841836 0
ERR841837 0
ERR841838 0
ERR841839 0
ERR841840 0
ERR841841 0
ERR841842 0
ERR841843 0
ERR841844 0
ERR841845 0
ERR841846 0
ERR841847 0
ERR841848 0
ERR841849 0
ERR841851 0
ERR841852 0
ERR841853 0
ERR841855 0
ERR841856 0
ERR841857 0
ERR841858 0
ERR841859 0
ERR841861 0
ERR841862 0
ERR841863 0
ERR841864 0
ERR841865 0
ERR841867 0
ERR841869 0
ERR841870 0
ERR841871 0
ERR841872 0
ERR841873 0
ERR841875 0
ERR841877 0
ERR841878 0
ERR841879 0
ERR841882 0
ERR841883 0
ERR841884 0
ERR841885 0
ERR841886 0
ERR841888 0
ERR841889 0
ERR841890 0
ERR841891 0
ERR841892 0
ERR841895 0
ERR841896 0
ERR841898 0
ERR841899 0
ERR841900 0
ERR841902 0
ERR841904 0
ERR841905 0
SRR13199719 1
SRR13199720 1
SRR13199721 1
SRR13199724 1
SRR13199725 1
SRR13199728 0
SRR13199729 1
SRR13199730 1
SRR13199731 0
SRR13199732 0
SRR13199735 0
SRR13199741 0
SRR13199743 1
SRR13199745 1
SRR13199748 1
SRR13199749 1
SRR13199751 0
SRR13199752 0
SRR13199755 1
SRR13199756 0
SRR13199758 0
SRR13199760 1
SRR13199761 1
SRR13199762 1
SRR16278219 1
SRR16278220 0
SRR16278223 1
SRR16278224 1
SRR16278225 1
SRR16278227 0
SRR16278228 0
SRR16278229 0
SRR16278230 1
SRR16278232 0
SRR16278233 0
SRR16278234 0
SRR16278235 0
SRR16278236 0
SRR16278237 0
SRR16278238 1
SRR16278239 0
SRR16278241 1
SRR16278242 1
SRR16278243 0
SRR16278244 1
SRR16278245 1
SRR16278246 0
SRR16278247 1
SRR16278248 1
SRR16278249 1
SRR16278251 0
SRR16278253 0
SRR16278254 0
SRR16278255 1
SRR16278256 0
SRR16278257 0
SRR16278259 1
SRR16278260 1
SRR16278261 1
SRR16278263 0
SRR16278264 1
SRR16278265 1
SRR16278266 1
SRR16278267 0
SRR16278268 1
SRR16278269 0
SRR16278271 0
SRR16278272 0
SRR16278276 0
SRR16278277 0
SRR16278278 0
SRR16278279 1
SRR16278280 0
SRR16278281 0
SRR16278282 1
SRR16278283 1
SRR16278284 1
SRR16278285 0
SRR16278287 1
SRR16278288 1
SRR16278289 1
SRR16278290 1
SRR16278291 0
SRR1657061 0
SRR1657070 0
SRR1791692 0
SRR1791693 0
SRR1791695 0
SRR1791697 0
SRR1791698 0
SRR1791699 0
SRR1791700 0
SRR1791702 0
SRR1791703 0
SRR1791704 0
SRR1791705 0
SRR1791706 0
SRR1791709 0
SRR1791715 0
SRR1791716 0
SRR1791718 0
SRR1791719 0
SRR1791720 0
SRR1791722 0
SRR1791723 0
SRR1791724 0
SRR1791729 0
SRR1791730 0
SRR1791731 0
SRR1791732 0
SRR1791734 0
SRR1791735 0
SRR1791736 0
SRR1791737 0
SRR1791738 0
SRR1791740 0
SRR1791742 0
SRR1791743 0
SRR1791744 0
SRR1791746 1
SRR1791748 0
SRR1791750 0
SRR1791751 0
SRR1791752 0
SRR1791754 1
SRR1791755 0
SRR1791757 0
SRR1791758 0
SRR1791759 0
SRR1791760 0
SRR1791761 0
SRR1791762 0
SRR1791763 0
SRR1791765 0
SRR1791767 0
SRR1791768 0
SRR1791769 0
SRR1791770 0
SRR1791772 0
SRR1791775 0
SRR1791777 0
SRR1791778 0
SRR1791781 0
SRR1791782 0
SRR1791783 0
SRR1791784 0
SRR1791785 0
SRR1791786 0
SRR1791787 0
SRR1791788 0
SRR1791790 0
SRR1791791 0
SRR1791793 0
SRR1791794 0
SRR1791797 0
SRR1791798 0
SRR1791799 0
SRR1791800 0
SRR1791802 0
SRR1791803 0
SRR1791804 0
SRR1791806 0
SRR1791807 0
SRR1791808 0
SRR1791809 1
SRR1791810 0
SRR1791811 0
SRR1791812 0
SRR1791813 0
SRR1791816 0
SRR1791817 0
SRR1791818 0
SRR1791822 0
SRR1791823 1
SRR1791824 0
SRR1791825 0
SRR1791826 0
SRR1791829 0
SRR1791830 0
SRR1791831 0
SRR1791832 0
SRR1791833 1
SRR1791834 1
SRR1791835 0
SRR1791836 0
SRR1791837 0
SRR1791839 0
SRR1791840 0
SRR1791841 0
SRR1791844 0
SRR1791846 0
SRR1791847 0
SRR1791849 0
SRR1791850 1
SRR1791851 0
SRR1791857 0
SRR1791862 0
SRR1791864 0
SRR1791867 0
SRR1791868 0
SRR1791871 0
SRR1791875 0
SRR1791876 0
SRR1791877 0
SRR1791878 0
SRR1791879 1
SRR1791880 0
SRR1791883 0
SRR1791885 1
SRR1791886 0
SRR1791887 0
SRR1791888 0
SRR1791890 0
SRR1791891 0
SRR1791892 0
SRR1791893 0
SRR1791894 0
SRR1791895 0
SRR1791896 0
SRR1791900 0
SRR1791901 0
SRR1791902 0
SRR1791903 1
SRR1791904 0
SRR1791905 0
SRR1791906 1
SRR1791911 0
SRR1791913 0
SRR1791914 0
SRR1791915 0
SRR1791916 0
SRR1791917 0
SRR1791919 1
SRR1791920 0
SRR1791923 0
SRR1791924 0
SRR1791925 1
SRR1791926 0
SRR1791927 0
SRR1791928 0
SRR1791929 1
SRR1791930 1
SRR1791931 1
SRR1791934 0
SRR1791935 0
SRR1791937 0
SRR1791938 0
SRR1791942 1
SRR1791944 0
SRR1791946 0
SRR1791950 0
SRR1791953 0
SRR1791954 0
SRR1791955 1
SRR1791956 0
SRR1791957 0
SRR1791959 0
SRR1791960 1
SRR1791962 0
SRR1791966 0
SRR1791969 0
SRR1791970 0
SRR1791973 0
SRR1791979 0
SRR1791980 0
SRR1791981 0
SRR1791983 0
SRR1791984 0
SRR1791985 0
SRR1791994 0
SRR1791996 0
SRR1791997 0
SRR1791998 0
SRR1792001 0
SRR1792005 0
SRR1792006 0
SRR1792007 0
SRR1792008 0
SRR1792009 0
SRR1792010 0
SRR1792013 0
SRR1792016 1
SRR1792018 1
SRR1792020 1
SRR1792023 1
SRR1792026 1
SRR1792027 1
SRR1792029 1
SRR1792030 1
SRR1792031 0
SRR1792034 1
SRR1792036 1
SRR1792038 1
SRR1792040 0
SRR1792041 1
SRR1792043 1
SRR1792044 1
SRR1792045 0
SRR1792048 1
SRR1792049 1
SRR1792050 1
SRR1792051 1
SRR1792060 1
SRR1792061 1
SRR1792062 1
SRR1792064 1
SRR1792066 1
SRR1792067 1
SRR1792068 1
SRR1792070 1
SRR1792071 1
SRR1792074 1
SRR1792075 1
SRR1792076 1
SRR1792079 1
SRR1792080 1
SRR1792081 1
SRR1792082 1
SRR1792083 1
SRR1792084 1
SRR1792085 1
SRR1792086 0
SRR1792087 0
SRR1792088 0
SRR1792090 0
SRR1792091 1
SRR1792092 0
SRR1792093 1
SRR1792094 0
SRR1792095 0
SRR1792097 1
SRR1792098 1
SRR1792099 1
SRR1792100 0
SRR1792101 0
SRR1792102 0
SRR1792103 1
SRR1792104 0
SRR1792108 1
SRR1792109 1
SRR1792110 1
SRR1792111 1
SRR1792112 1
SRR1792113 0
SRR1792114 0
SRR1792115 0
SRR1792116 0
SRR1792118 0
SRR1792119 0
SRR1792121 0
SRR1792122 0
SRR1792123 0
SRR1792142 1
SRR1792143 1
SRR1792144 0
SRR1792145 0
SRR1792147 0
SRR1792149 0
SRR1792155 0
SRR1792158 0
SRR1792162 0
SRR1792166 0
SRR1792167 0
SRR1792168 0
SRR1792169 0
SRR1792171 0
SRR1792172 0
SRR1792177 0
SRR1792178 0
SRR1792179 0
SRR1792180 0
SRR1792181 0
SRR1792182 0
SRR1792183 0
SRR1792189 0
SRR1792190 0
SRR1792191 0
SRR1792192 0
SRR1792193 0
SRR1792194 0
SRR1792195 0
SRR1792196 0
SRR1792198 0
SRR1792199 0
SRR1792200 0
SRR1792203 0
SRR1792204 0
SRR1792206 0
SRR1792208 0
SRR1792209 0
SRR1792210 0
SRR1792211 0
SRR1792212 0
SRR1792214 0
SRR1792215 0
SRR1792216 0
SRR1792217 0
SRR1792218 0
SRR1792219 0
SRR1792220 0
SRR1792221 0
SRR1792222 1
SRR1792223 0
SRR1792224 0
SRR1792225 0
SRR1792226 0
SRR1792227 0
SRR1792228 0
SRR1792229 0
SRR1792230 0
SRR1792231 0
SRR1792233 0
SRR1792235 0
SRR1792236 0
SRR1792237 0
SRR1792239 0
SRR1792240 1
SRR1792241 0
SRR1792243 0
SRR1792244 0
SRR1792246 1
SRR1792250 0
SRR1792254 0
SRR1792255 0
SRR1792256 0
SRR1792257 0
SRR1792260 1
SRR1792266 1
SRR1792268 1
SRR1792270 1
SRR1792271 1
SRR1792272 1
SRR1792273 1
SRR1792274 0
SRR1792275 0
SRR1792276 1
SRR1792278 1
SRR1792279 1
SRR1792281 0
SRR1792283 1
SRR1792284 1
SRR1792285 0
SRR1792286 1
SRR1792288 1
SRR1792289 1
SRR1792290 1
SRR1792291 1
SRR1792292 1
SRR1792293 1
SRR1792294 1
SRR1792295 1
SRR1792297 1
SRR1792298 0
SRR1792300 0
SRR1792301 0
SRR1792302 0
SRR1792305 1
SRR1792306 1
SRR1792307 0
SRR1792309 1
SRR1792310 0
SRR1792311 1
SRR1792312 1
SRR1792313 1
SRR1792314 1
SRR1792315 1
SRR1792316 1
SRR1792317 1
SRR1792318 1
SRR1792319 0
SRR1792320 1
SRR1792321 0
SRR1792322 1
SRR1792325 0
SRR1792326 1
SRR1792327 1
SRR1792328 1
SRR1792329 0
SRR1792330 0
SRR1792332 1
SRR1792333 1
SRR1792337 1
SRR1792338 0
SRR1792341 0
SRR1792342 1
SRR1792343 1
SRR1792344 0
SRR1792345 0
SRR1792347 0
SRR1792348 0
SRR1792349 0
SRR1792351 0
SRR1792352 0
SRR1792353 0
SRR1792354 0
SRR1792355 0
SRR1792356 0
SRR1792358 0
SRR1792360 0
SRR1792361 0
SRR1792362 0
SRR1792363 0
SRR1792364 0
SRR1792365 0
SRR1792366 0
SRR1792367 0
SRR1792368 0
SRR1792369 0
SRR1792370 0
SRR1792371 0
SRR1792373 0
SRR1792374 0
SRR1792375 0
SRR1792376 0
SRR1792377 0
SRR1792379 0
SRR1792380 0
SRR1792381 0
SRR1792383 0
SRR1792384 0
SRR1792385 0
SRR1792386 0
SRR1792387 0
SRR1792389 0
SRR1792390 0
SRR1792391 0
SRR1792393 0
SRR1792394 0
SRR1792395 0
SRR1792396 0
SRR1792398 0
SRR1792399 0
SRR1792400 0
SRR1792401 0
SRR1792402 0
SRR1792403 0
SRR1792404 0
SRR1792405 0
SRR1792406 0
SRR1792407 0
SRR1792409 0
SRR1792410 1
SRR1792411 0
SRR1792412 0
SRR1792413 0
SRR1792415 0
SRR1792416 0
SRR1792418 0
SRR1792419 0
SRR1792422 0
SRR1792429 0
SRR1792433 0
SRR1792434 0
SRR1792436 0
SRR1792438 0
SRR1792439 0
SRR1792440 0
SRR1792441 0
SRR1792442 0
SRR1792443 0
SRR1792444 0
SRR1792445 0
SRR1792447 0
SRR1792448 0
SRR1792449 0
SRR1792450 0
SRR1792456 0
SRR1792458 0
SRR1792464 0
SRR1792465 0
SRR1792467 0
SRR1792468 0
SRR1792469 0
SRR1792470 0
SRR1792471 0
SRR1792472 0
SRR1792473 0
SRR1792476 0
SRR1792477 0
SRR1792480 1
SRR1792483 0
SRR1792484 0
SRR1792485 0
SRR1792490 0
SRR1792491 0
SRR1792494 0
SRR1792496 1
SRR1792500 0
SRR1792501 0
SRR1792503 0
SRR1792504 0
SRR1792505 0
SRR1792507 0
SRR1792508 1
SRR1792509 1
SRR1792510 1
SRR3091235 0
SRR3091236 0
SRR3091237 0
SRR3091238 0
SRR3091239 0
SRR3091240 0
SRR3091241 0
SRR3091242 0
SRR3091243 0
SRR3091244 0
SRR3091245 0
SRR3091246 0
SRR3091247 0
SRR3091248 0
SRR3091249 0
SRR3091250 1
SRR3091251 1
SRR3091252 0
SRR3091253 0
SRR3091254 0
SRR4117155 0
SRR5216695 0
SRR5216744 0
SRR5216748 0
SRR5216754 0
SRR5216760 0
SRR5216791 0
SRR5216807 0
SRR5216812 0
SRR5216826 0
SRR5216828 0
SRR5216834 0
SRR5216851 0
SRR5216863 0
SRR5216887 0
SRR5216894 0
SRR5216915 0
SRR5216918 0
SRR5216925 0
SRR5216950 0
SRR5216975 0
SRR5216982 0
SRR5430091 0
SRR5430569 0
SRR5430746 0
SRR5430750 1
SRR5431793 0
SRR5485729 0
SRR5486071 0
SRR5486075 0
SRR5486079 0
SRR5486087 1
SRR5486088 1
SRR5486089 0
SRR5486090 0
SRR5486091 0
SRR5486092 0
SRR5657358 0
SRR5657359 0
SRR5657360 0
SRR5657361 0
SRR5657363 0
SRR5657364 0
SRR5657365 0
SRR5657366 0
SRR5657367 0
SRR5657368 0
SRR5657369 0
SRR5657370 0
SRR5657371 0
SRR5657372 0
SRR5657373 0
SRR5657374 0
SRR5657376 0
SRR5657378 0
SRR5657379 0
SRR5657380 0
SRR5657382 0
SRR5657383 0
SRR5657385 0
SRR5657386 0
SRR5657387 0
SRR5657388 0
SRR5657390 0
SRR5657391 0
SRR5657392 0
SRR5657393 0
SRR5657394 0
SRR5657395 0
SRR5657397 0
SRR5657399 0
SRR5657402 0
SRR5657403 0
SRR5657404 0
SRR5657405 0
SRR5657406 0
SRR5657407 0
SRR5657411 0
SRR5657412 0
SRR5657413 0
SRR5657414 0
SRR5657415 0
SRR5657416 0
SRR5657417 0
SRR5657418 0
SRR5657419 0
SRR5657420 0
SRR5657421 0
SRR5657422 0
SRR5657423 0
SRR5657425 0
SRR5657426 0
SRR5657427 0
SRR5657431 0
SRR5657433 0
SRR5657436 0
SRR5657438 0
SRR5657439 0
SRR5657440 0
SRR5657441 0
SRR5657442 0
SRR5657443 0
SRR5657444 0
SRR5657445 0
SRR5657446 0
SRR5657447 0
SRR5657449 0
SRR5657450 0
SRR5657451 0
SRR5657452 0
SRR5657453 0
SRR5657454 0
SRR5657455 0
SRR5657456 0
SRR5657457 0
SRR5657458 0
SRR5657459 0
SRR5657460 0
SRR5657461 0
SRR5657462 0
SRR5657463 0
SRR5657466 0
SRR5657467 0
SRR5657469 0
SRR5657471 0
SRR5657473 0
SRR5657475 0
SRR5657476 0
SRR5657487 0
SRR5657488 0
SRR5657489 0
SRR5657490 0
SRR5657491 0
SRR5657492 0
SRR5657493 0
SRR5657496 0
SRR5657497 0
SRR5657498 0
SRR5657499 0
SRR5657501 0
SRR5657502 0
SRR5657505 0
SRR5657506 0
SRR5657507 0
SRR5657508 0
SRR5657509 0
SRR5657510 0
SRR5657511 0
SRR5657512 0
SRR5657513 0
SRR5657516 0
SRR5657518 0
SRR5657520 0
SRR5657521 0
SRR5657522 0
SRR5657523 0
SRR5657524 0
SRR5657526 0
SRR5657527 0
SRR5657529 0
SRR6045019 1
SRR6467884 0
SRR6467887 0
SRR6467891 1
SRR6705904 0
SRR7236112 0
SRR7236131 0
SRR7236145 0
SRR7236149 0
SRR7236192 0
SRR7236193 0
SRR7236231 1
SRR7236232 1
SRR7236264 1
SRR7236345 1
SRR7236378 1
SRR7236380 1
SRR7236381 0
SRR7236387 1
SRR7236407 0
SRR7240028 0
SRR7240029 0
SRR7240048 0
SRR7240051 0
SRR7240089 0
SRR7240090 0
SRR7240096 0
SRR7240099 0
SRR7240101 0
SRR7240102 0
SRR7240106 0
SRR7240107 0
SRR7240109 0
SRR7240111 0
SRR7240112 0
SRR7240114 0
SRR7240115 0
SRR7240116 0
SRR7240117 0
SRR7240118 0
SRR7240150 0
SRR7240151 0
SRR7240152 0
SRR7240153 0
SRR7240166 0
SRR7240203 0
SRR7240232 0
SRR7240239 0
SRR7240243 0
SRR7240244 0
SRR7240245 0
SRR7240246 0
SRR7240247 0
SRR7240248 0
SRR7240249 0
SRR7240250 0
SRR7240251 0
SRR7240252 0
SRR7240253 0
SRR7240254 0
SRR7240255 0
SRR7240256 0
SRR7240257 0
SRR7240271 0
SRR7240284 0
SRR7240297 0
SRR7240298 0
SRR7240303 0
SRR7240304 0
SRR7240306 0
SRR7240307 0
SRR7240309 0
SRR7240310 0
SRR7240311 0
SRR7240314 0
SRR7240316 0
SRR7240317 0
SRR7240325 0
SRR7240354 0
SRR7240355 0
SRR7240357 0
SRR7240394 0
SRR7240405 0
SRR7240406 0
SRR7240407 0
SRR7240408 0
SRR7240431 0
SRR7240432 0
SRR7240443 0
SRR7240452 0
SRR7240456 0
SRR7240459 0
SRR7240468 0
SRR7240469 0
SRR7240512 0
SRR7240522 0
SRR7240523 0
SRR7240524 0
SRR7617359 0
SRR7617364 0
SRR7617366 0
SRR7617381 0
SRR7617383 0
SRR7617388 0
SRR7617389 0
SRR7617390 0
SRR7617393 0
SRR7617396 0
SRR7617410 0
SRR7617420 0
SRR7617421 0
SRR7617427 0
SRR7617429 0
SRR7617432 0
SRR7617433 0
SRR7617434 0
SRR7617435 0
SRR7617436 0
SRR7617437 0
SRR7617439 0
SRR7617441 0
SRR7617442 0
SRR7617444 0
SRR7617446 0
SRR7617447 0
SRR7617448 0
SRR7617449 0
SRR7617460 0
SRR7617461 0
SRR7617462 0
SRR7617463 0
SRR7617464 0
SRR7617465 0
SRR7617467 0
SRR7617469 0
SRR7617470 0
SRR7617471 0
SRR7617476 0
SRR7617477 0
SRR7617479 0
SRR7617492 0
SRR7617495 0
SRR7617499 0
SRR7617500 0
SRR7617505 0
SRR7617506 0
SRR7617508 0
SRR7617524 0
SRR7617527 0
SRR7617534 0
SRR7617535 0
SRR7617536 0
SRR7617537 0
SRR7617539 0
SRR7617541 0
SRR7617544 0
SRR7617545 0
SRR7617546 0
SRR7617548 0
SRR7617583 0
SRR7617584 0
SRR7617585 0
SRR7617589 0
SRR7617590 0
SRR7617592 0
SRR7617593 0
SRR7617602 0
SRR7617604 0
SRR7617606 0
SRR7617607 0
SRR7617608 0
SRR7617609 0
SRR7617610 0
SRR7617611 0
SRR7617619 0
SRR7617620 0
SRR7617621 0
SRR7617624 0
SRR7617632 0
SRR7617648 0
SRR7617650 0
SRR7617651 0
SRR7617654 0
SRR7617657 0
SRR7617659 0
SRR7617660 0
SRR7617661 0
SRR7617668 0
SRR7617669 0
SRR7617672 0
SRR7617679 0
SRR7617683 0
SRR7617688 0
SRR7617690 0
SRR7617691 0
SRR7617692 0
SRR7617693 0
SRR7617694 0
SRR7617695 0
SRR7617696 0
SRR7617697 0
SRR7617698 0
SRR7617703 0
SRR7617708 0
SRR7617709 0
SRR7617711 0
